PlantGro_head,R_head
YEAR,year
DOY,doy
DAS,das
DAP,dap
T#SD,t.sd
GSTD,gstd
LAIGD,laigd
LGDMD,lgdmd
SMFMD,smfmd
SMDMD,smdmd
SUCMD,sucmd
RDMD,rdmd
BADMD,badmd
T#AD,t.ad
L#SD,l.sd
SUID,suid
LDDMD,lddmd
LAITD,laitd
WSPD,wspd
WSGD,wsgd
WSTD,wstd
SHTD,shtd
RDPD,rdpd
RL1D,rl1d
RL2D,rl2d
RL3D,rl3d
RL4D,rl4d
RL5D,rl5d
RL6D,rl6d
RL7D,rl7d
RL8D,rl8d
RL9D,rl9d
RL10D,rl10d
EOSA,eosa
RTLD,rtld
LI%D,li.d
SLAD,slad
PGRD,pgrd
BRDMD,brdmd
LDGFD,ldgfd
TTEBC,ttebc
TTSPC,ttspc
TTLEC,ttlec
SU%DMD,su.dmd
SU%FMD,su.fmd
CWSI,cwsi
RESPCF,respcf
